CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
23;113;14;0,20;3;5;0,32;13407,57;104;62,50;2588,67;1721118959385
18;63;14;1,37;3;69;0,15;3276,20;63;65,08;3977,12;1721119182228
29;202;15;0,81;2;66;0,16;306929,44;64;67,19;73740,53;1721125361648
13;106;15;0,47;1;91;1,55;5211130,75;243;49,79;772437,90;1721135496940
20;299;14;1,26;1;10;7,72;748100,72;146;60,27;250531,02;1721141838245
131;27;14;2,47;9;21;5,60;NaN;22;0,00;15,48;1721213907357
243;251;2;2,61;4;68;7,97;NaN;8;0,00;0,00;1721214081323
23;291;15;0,21;1;95;5,89;1849,86;109;65,14;476,73;1721215557692
91;59;13;0,73;1;95;5,18;58761,75;51;68,63;624,48;1721217926261
64;202;15;0,95;1;9;6,99;201199,18;65;67,69;8093,18;1721250472706
